ID,NAME,ADDR,X,Y,,CO_NAME,,TO_NAME,,MF,STU_CNT,AB_STU_CNT,,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,TW97經緯度,縣市名稱,縣市統計,鄉鎮市區名稱,鄉鎮,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族學生比例,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
44605,縣立南和國小,[306]新竹縣關西鎮南和里69號,262013.852,2744771.037,"24.810295,121.118838",[04]新竹縣,20,關西鎮,8,平,32,2,6.25%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44607,縣立東光國小,[306]新竹縣關西鎮東光里190號,267798.204,2741023.118,"24.776401,121.176007",[04]新竹縣,20,關西鎮,8,平,34,4,11.76%,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110Y
44608,縣立錦山國小,[306]新竹縣關西鎮金山里107號,272786.201,2740175.093,"24.768678,121.22532",[04]新竹縣,20,關西鎮,8,平,32,7,21.88%,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44609,縣立玉山國小,[306]新竹縣關西鎮玉山里四鄰25號,271105,2738940.01,"24.757551,121.208677",[04]新竹縣,20,關西鎮,8,平,48,1,2.08%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44666,縣立尖石國小,[313]新竹縣尖石鄉嘉樂村六鄰7號,269492.768,2732463.7,"24.6991,121.192646",[04]新竹縣,20,尖石鄉,9,山,28,28,100.00%,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44667,縣立嘉興國小,[313]新竹縣尖石鄉嘉樂村三鄰177號,271319.706,2733148.24,"24.705256,121.210711",[04]新竹縣,20,尖石鄉,9,山,77,76,98.70%,0,72,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44668,縣立新樂國小,[313]新竹縣尖石鄉新樂村一鄰10號,275336.492,2736088.462,"24.731741,121.250464",[04]新竹縣,20,尖石鄉,9,山,112,105,93.75%,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44669,縣立梅花國小,[313]新竹縣尖石鄉梅花村1鄰25號,271145.952,2730106.331,"24.677794,121.208948",[04]新竹縣,20,尖石鄉,9,山,50,50,100.00%,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44670,縣立錦屏國小,[313]新竹縣尖石鄉錦屏村十鄰116號,274975.23,2730385.066,"24.680253,121.246791",[04]新竹縣,20,尖石鄉,9,山,40,40,100.00%,2,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,110Y
44671,縣立玉峰國小,[313]新竹縣尖石鄉玉峰村五鄰59號,280486.753,2728165.57,"24.660115,121.301204",[04]新竹縣,20,尖石鄉,9,山,23,23,100.00%,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110Y
44672,縣立石磊國小,[313]新竹縣尖石鄉玉峰村十鄰49號,283039.911,2727665.272,"24.655545,121.326417",[04]新竹縣,20,尖石鄉,9,山,32,31,96.88%,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44673,縣立秀巒國小,[313]新竹縣尖石鄉秀巒村四鄰19號,278923.448,2723520.106,"24.618203,121.285664",[04]新竹縣,20,尖石鄉,9,山,67,66,98.51%,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
44674,縣立新光國小,[313]新竹縣尖石鄉秀巒村八鄰17號,280705.691,2719282.015,"24.579903,121.303174",[04]新竹縣,20,尖石鄉,9,山,72,71,98.61%,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
